PalLatMin,PalLatMax,PalLonMin,PalLonMax,AdjustedMATmin,AdjustedMATmax
47.766,47.725,12.66,12.556,14.7,20.8
48.012,47.83,11.675,11.259,12.3,16.3
47.787,47.755,20.087,19.937,13.5,17.5
43.763,43.717,22.88,22.64,14.4,18.4
46.847,46.766,21.845,21.434,14.85,18.85
44.151,44.12,19.813,19.696,12.9,16.9
44.366,44.269,20.105,19.748,14.05,18.05
50.406,50.271,5.758,5.513,12.75,16.75
47.822,47.726,12.469,12.242,12.7,16.7
50.526,50.426,5.621,5.427,13.1,17.1
45.974,45.854,17.82,17.435,11.6,18.4
40.516,40.604,43.456,43.292,15,19
51.355,51.113,13.26,12.534,14,18
47.94,47.879,15.514,15.328,12.5,16.5
47.86,47.804,11.904,11.782,14,18
47.813,47.718,12.529,12.302,12.55,16.55
34.389,34.318,25.405,25.371,14.8,18.8
48.483,48.347,16.27,15.836,14.05,18.05
46.702,46.636,15.385,15.195,13.7,17.7
47.682,47.536,15.085,14.672,12.9,16.9
47.994,47.867,17.301,16.868,13.45,17.45
47.391,47.356,22.509,22.306,12.8,16.8
47.578,47.47,18.995,18.574,13.6,17.6
47.701,47.605,12.434,12.209,12.75,16.75
34.527,34.386,24.269,24.204,15,19
47.583,47.477,19.264,18.842,12.55,16.55
47.791,47.696,15.424,15.151,11.85,17.85
48.576,48.437,15.868,15.433,14.1,18.1
43.453,43.445,27.383,27.273,13.25,17.25
-18.837,-18.857,-65.838,-65.789,16.1,23.5
61.961,62.205,-147.547,-145.939,1,7
43.388,43.34,22.583,22.348,14.35,18.35
38.881,38.902,38.64,38.577,15.6,21.3
44.401,44.404,-114.722,-112.409,12,16
60.143,60.583,-149.489,-147.221,8.5,12.5
0.468,0.435,35.827,35.827,19.2,24.2
39.137,39.031,-70.64,-70.3,6,24
25.48,25.825,101.654,101.993,13.3,20.9
38.684,38.684,-117.446,-117.446,11.3,15.3
43.182,43.176,-113.156,-112.369,10.4,16.4
-17.975,-18.106,-64.308,-64.027,15,25
39.444,39.462,37.808,37.737,16.5,20.8
37.869,37.759,-9.486,-9.542,8,14
44.434,44.419,7.636,7.611,11.5,17.5
63.739,64.008,-141.922,-140.109,3,7
42.174,42.12,-110.417,-109.324,7,15
-18.763,-18.783,-66.148,-66.099,20.3,25.7
40.239,40.08,21.482,21.401,11.95,15.95
48.142,48.111,22.09,21.904,12,16
48.111,48.029,21.904,21.458,12.7,17.7
24.464,24.634,103.787,103.978,19.3,25.3
40.911,40.721,-6.276,-6.411,14.1,18.1
47.979,47.94,11.253,11.171,14.4,18.4
39.107,39.181,45.861,45.734,13.5,24.9
46.507,46.386,17.738,17.343,10.1,16.6
34.456,34.16,24.8,24.663,15,19
33.345,33.248,-6.816,-6.818,15.6,24.7
42.083,42.078,1.558,1.553,15.5,19.8
36.971,36.937,14.025,14.014,15.6,24.7
36.831,36.815,-5.649,-5.657,15.6,24.7
33.382,33.352,-2.548,-2.551,21.6,24.7
42.103,42.103,29.346,29.309,15.6,19.8
-18.763,-18.783,-66.148,-66.099,17.6,22.6
38.256,38.223,-115.055,-113.184,11.5,15.5
43.877,43.85,21.758,21.647,13.25,17.25
43.877,43.85,21.758,21.647,13.25,17.25
43.877,43.85,21.758,21.647,13.95,17.95
43.877,43.85,21.758,21.647,13.95,17.95
43.877,43.85,21.758,21.647,11.6,18.4
43.606,43.587,22.469,22.373,13.95,17.95
43.587,43.553,22.373,22.205,11.6,17.2
43.606,43.587,22.469,22.373,13.4,17.4
43.553,43.535,22.205,22.122,15,19
43.587,43.553,22.373,22.205,13.95,17.95
43.553,43.535,22.205,22.122,14.4,18.4
43.553,43.535,22.205,22.122,14.4,18.4
43.587,43.553,22.373,22.205,15.8,19.8
43.587,43.553,22.373,22.205,13.4,17.4
43.587,43.553,22.373,22.205,13.25,17.25
43.587,43.553,22.373,22.205,13.3,18.4
43.587,43.553,22.373,22.205,13.3,18.4
43.587,43.553,22.373,22.205,13.6,18.4
43.587,43.553,22.373,22.205,11.6,17.2
43.587,43.553,22.373,22.205,13.6,18.4
43.553,43.535,22.205,22.122,13.4,17.4
43.587,43.553,22.373,22.205,13.95,17.95
43.606,43.587,22.469,22.373,13.4,17.4
43.606,43.587,22.469,22.373,13.95,17.95
43.553,43.535,22.205,22.122,13.25,17.25
43.553,43.535,22.205,22.122,14.1,18.1
43.606,43.587,22.469,22.373,14.4,18.4
44.285,44.037,4.232,3.924,14.5,20.5
46.487,46.487,30.002,29.592,12.5,18.5
44.285,44.037,4.232,3.924,14.5,20.5
50.781,50.644,16.128,15.642,12,18
49.437,49.218,7.432,7.01,10,16
-37.539,-40.51,147.677,147.394,-3,3
-35.568,-38.575,144.553,144.102,-3,3
51.209,51.134,12.807,12.593,14,18
47.763,47.717,15.339,15.21,12.9,16.9
46.019,46.884,130.604,130.377,9,14
34.399,34.043,24.236,24.076,15,19
50.107,49.954,8.025,7.696,13.05,17.05
48.267,48.231,15.031,14.923,12.5,16.6
42.842,43.016,10.129,10.186,14.6,18.6
46.886,46.86,14.526,14.462,13.85,17.85
24.01,24.316,103.682,104.001,12.6,16.6
48.76,48.737,16.252,16.18,11.2,21.3
48.666,48.644,16.08,16.01,12.1,18.7
51.929,52.961,142.156,143.615,11.55,15.55
44.928,44.816,18.804,18.431,14,19
46.894,46.75,15.517,15.113,15.6,20.8
48.485,48.455,15.573,15.486,14.4,18.7
46.42,46.434,33.005,32.822,12.15,16.15
46.746,46.745,29.811,29.513,4.9,17.4
46.746,46.745,29.811,29.513,5.2,13.8
46.745,46.744,29.513,29.263,4.6,14.1
50.611,50.302,6.168,5.566,12.2,16.2
50.751,50.438,5.935,5.331,11.55,15.55
50.634,50.321,5.836,5.236,12.7,16.7
50.634,50.321,5.836,5.236,10.5,14.5
50.634,50.321,5.836,5.236,14,18
50.634,50.321,5.836,5.236,13.1,17.1
50.634,50.321,5.836,5.236,12.9,16.9
50.321,50.039,5.236,4.759,13.1,17.1
50.321,50.039,5.236,4.759,13.2,17.2
50.321,50.039,5.236,4.759,14.85,18.85
50.535,50.218,5.593,4.998,13.4,17.4
44.544,44.474,20.184,19.91,12.6,16.6
44.481,44.425,22.093,21.817,13.2,17.2
64.528,64.84,-145.444,-143.166,3,7
60.744,61.046,-148.493,-146.538,1.45,7.45
45.466,45.459,-117.804,-117.395,7.5,13.5
47.229,47.229,-116.415,-116.415,9.3,15.3
45.815,45.815,-118.383,-118.383,8.7,14.7
45.423,45.417,-118.184,-117.776,6.8,12.8
48.065,48.008,11.766,11.638,12.8,16.8
36.837,36.817,26.557,26.423,12.9,20.8
40.575,40.666,43.836,43.671,15.05,19.05
40.585,40.676,43.836,43.671,13.1,17.1
40.548,40.64,43.978,43.813,9.4,18.2
41.008,41.072,43.485,43.341,13.3,18.5
39.696,39.792,44.765,44.611,13.95,17.95
40.947,40.774,-4.198,-4.334,14.3,18.3
48.04,47.955,10.93,10.741,11.55,15.55
38.461,38.264,-9.276,-9.378,13.35,17.35
48.598,48.453,20.052,19.391,13.65,17.65
37.719,37.671,26.643,26.27,15.95,19.95
46.913,46.879,15.615,15.514,12.1,16.1
35.897,35.216,37.878,37.849,16.2,20.2
46.719,46.669,14.863,14.73,13.3,17.3
50.269,50.187,5.085,4.946,13.4,17.4
46.84,46.774,19.407,19.162,12.3,16.3
48.165,48.238,37.289,36.847,15.55,19.55
47.488,47.572,38.272,37.846,11.5,17
45.464,45.31,15.69,15.616,15,19
47.577,47.381,9.895,9.502,15.6,21.7
51.188,51.074,18.484,17.981,13.25,17.25
51.188,51.074,18.484,17.981,15.7,21.7
50.634,50.426,5.836,5.427,13.1,17.1
47.841,47.699,15.577,15.159,12.85,16.85
38.236,38.265,34.09,33.942,17,21
34.389,34.318,25.405,25.371,16.5,20.5
40.239,40.08,21.482,21.401,8.1,14.1
42.56,42.488,25.059,24.567,11.5,15.5
46.892,46.9,24.959,25.032,13.6,17.6
42.969,42.949,22.592,22.491,14.65,18.65
42.969,42.949,22.592,22.491,14.65,18.65
42.969,42.949,22.592,22.491,14.55,18.55
42.969,42.949,22.592,22.491,13.3,17.6
42.969,42.949,22.592,22.491,11.6,16.2
42.969,42.949,22.592,22.491,12.9,17.6
42.969,42.949,22.592,22.491,15,19
42.969,42.949,22.592,22.491,11.6,17.6
42.969,42.949,22.592,22.491,11.8,17.6
42.969,42.949,22.592,22.491,11.6,18.4
42.969,42.949,22.592,22.491,11.6,17.5
42.969,42.949,22.592,22.491,11.6,17.5
42.969,42.949,22.592,22.491,11.6,17.6
42.969,42.949,22.592,22.491,14.65,18.65
42.969,42.949,22.592,22.491,12.9,18.4
42.969,42.949,22.592,22.491,11.6,18.3
42.969,42.949,22.592,22.491,14.6,18.6
42.969,42.949,22.592,22.491,14.55,18.55
42.969,42.949,22.592,22.491,14.65,18.65
42.969,42.949,22.592,22.491,14.65,18.65
42.969,42.949,22.592,22.491,14.65,18.65
42.969,42.949,22.592,22.491,12.9,17.5
42.969,42.949,22.592,22.491,15.05,19.05
42.969,42.949,22.592,22.491,15,19
42.969,42.949,22.592,22.491,15,19
42.969,42.949,22.592,22.491,15,19
42.969,42.949,22.592,22.491,12.9,18.3
42.969,42.949,22.592,22.491,14.95,18.95
42.969,42.949,22.592,22.491,14.6,18.6
42.969,42.949,22.592,22.491,11.6,17.6
42.969,42.949,22.592,22.491,14.6,18.6
42.969,42.949,22.592,22.491,11.6,17.6
42.969,42.949,22.592,22.491,15,19
42.969,42.949,22.592,22.491,12.9,17.6
42.969,42.949,22.592,22.491,11.6,18.4
42.969,42.949,22.592,22.491,11.6,17.6
42.969,42.949,22.592,22.491,10.6,19.4
42.969,42.949,22.592,22.491,10.6,17.6
42.969,42.949,22.592,22.491,11.6,17.6
42.969,42.949,22.592,22.491,13.3,17.6
42.969,42.949,22.592,22.491,11.6,18.4
42.969,42.949,22.592,22.491,11.6,18.4
42.969,42.949,22.592,22.491,11.6,18.4
42.969,42.949,22.592,22.491,12.9,17.6
42.969,42.949,22.592,22.491,14.95,18.95
42.969,42.949,22.592,22.491,11.6,17.6
42.969,42.949,22.592,22.491,14.65,18.65
42.969,42.949,22.592,22.491,11.6,18.4
42.969,42.949,22.592,22.491,13.6,18.3
42.969,42.949,22.592,22.491,14.6,18.6
42.969,42.949,22.592,22.491,14.6,18.6
42.969,42.949,22.592,22.491,14.65,18.65
42.969,42.949,22.592,22.491,11.6,18.4
42.969,42.949,22.592,22.491,11.6,18.4
42.969,42.949,22.592,22.491,14.65,18.65
42.969,42.949,22.592,22.491,11.6,18.4
42.969,42.949,22.592,22.491,14.65,18.65
42.969,42.949,22.592,22.491,14.65,18.65
42.969,42.949,22.592,22.491,11.6,18.4
42.969,42.949,22.592,22.491,11.6,18.4
42.969,42.949,22.592,22.491,7.6,20.8
27.935,26.23,88.863,88.569,12.7,16.7
27.935,26.23,88.863,88.569,13.9,17.9
27.935,26.23,88.863,88.569,13.3,20.8
27.918,26.686,97.563,97.06,11.2,19
27.918,26.686,97.563,97.06,12.7,16.7
31.282,30.121,89.683,89.311,15.7,21.3
23.854,24.295,103.47,103.92,18.7,22.7
25.407,25.765,101.508,101.875,13.3,21.9
25.407,25.765,101.508,101.875,13.3,17.5
25.407,25.765,101.508,101.875,9.1,21.7
25.407,25.765,101.508,101.875,11.5,21.7
25.407,25.765,101.508,101.875,11.5,21.7
25.407,25.765,101.508,101.875,11.6,18.4
25.407,25.765,101.508,101.875,13.3,21.7
25.407,25.765,101.508,101.875,11.5,21.7
20.1,20.815,110.097,110.746,15.6,21.3
22.064,22.791,110.463,111.023,15.6,21.3
20.856,21.518,108.802,109.412,15.6,21.3
18.592,18.938,109.266,110.297,14.6,18.6
22.979,23.842,113.895,114.43,20,24
42.055,42.119,82.555,82.441,15.05,19.05
41.601,42.201,116.278,115.956,13.9,17.9
39.625,40.544,118.758,118.3,9.1,16.1
37.828,38.752,116.628,116.135,11.6,18.4
46.811,47.679,130.274,130.052,13.05,17.05
40.351,40.747,94.584,94.358,12.3,16.3
45.119,45.814,85.694,85.49,15.05,19.05
42,42.181,82.65,82.322,11.6,18.4
36.821,37.203,101.942,101.643,9.4,21.7
44.155,44.109,19.826,19.656,12.9,16.9
35.867,35.599,-3.298,-3.457,17,25
40.875,40.704,-5.407,-5.538,16,25
41.781,41.733,0.5,0.448,15.5,19.8
47.97,47.97,14.888,14.888,15.7,20
24.464,24.634,103.787,103.978,15.1,21.1
24.464,24.634,103.787,103.978,15.95,19.95
47.692,47.648,15.57,15.445,11,17.3
41.572,41.491,2.362,2.266,11,17.3
42.402,42.317,2.322,2.244,11,17.3
45.491,45.413,4.585,4.487,11,17.3
47.461,47.398,9.65,9.533,11,17.3
48.551,48.489,10.173,10.048,11,17.3
48.163,48.131,19.568,19.437,11,17.3
40.388,40.293,-1.776,-1.86,13,19.3
40.907,40.822,1.158,1.067,13,19.3
45.468,45.409,4.614,4.529,8.9,18.6
42.466,42.402,2.393,2.322,8.9,18.6
42.466,42.402,2.393,2.322,13,19.3
47.843,47.819,15.367,15.293,11,17.3
45.51,45.468,4.674,4.614,7.8,17.4
44.049,44.008,4.675,4.62,10.1,19.7
49.368,49.331,7.423,7.348,13,19.3
37.853,37.804,-0.898,-0.933,10.1,19.7
40.046,39.996,-1.354,-1.395,7.8,17.4
41.769,41.681,2.572,2.478,11.2,20.9
39.843,39.743,-1.466,-1.544,8.9,18.6
45.592,45.493,4.343,4.2,8.9,18.6
41.875,41.769,2.685,2.572,13.5,23.2
43.698,43.608,6.802,6.669,10.1,19.7
44.056,43.901,11.434,11.377,8.9,18.6
40.931,40.905,23.138,23.009,10.1,19.7
36.389,36.26,-3.792,-3.863,11.2,20.9
39.674,39.558,-0.271,-0.366,10.1,19.7
45.464,45.31,15.69,15.616,13.25,17.25
48.111,48.029,21.904,21.458,13.2,17.2
42.606,42.451,11.343,11.289,15.6,19.8
42.606,42.451,11.343,11.289,15.6,21.7
42.606,42.451,11.343,11.289,15.6,21.7
42.606,42.451,11.343,11.289,17.4,19.8
42.606,42.451,11.343,11.289,17.4,19.8
42.606,42.451,11.343,11.289,15.6,19.8
42.606,42.451,11.343,11.289,15.6,19.8
42.606,42.451,11.343,11.289,15.6,19.8
42.606,42.451,11.343,11.289,15.6,19.8
42.606,42.451,11.343,11.289,15.6,19.8
42.606,42.451,11.343,11.289,15.6,19.8
42.606,42.451,11.343,11.289,17.4,19.8
42.606,42.451,11.343,11.289,15.6,19.8
42.606,42.451,11.343,11.289,17.4,19.8
42.606,42.451,11.343,11.289,17.4,19.8
42.606,42.451,11.343,11.289,17.4,19.8
42.606,42.451,11.343,11.289,17.4,19.8
42.606,42.451,11.343,11.289,15.6,19.8
42.606,42.451,11.343,11.289,15.6,22.9
42.606,42.451,11.343,11.289,15.6,19.8
42.606,42.451,11.343,11.289,15.6,19.8
42.606,42.451,11.343,11.289,15.6,19.8
42.606,42.451,11.343,11.289,15.6,21.7
42.606,42.451,11.343,11.289,15.6,19.8
42.606,42.451,11.343,11.289,17.4,22.9
42.606,42.451,11.343,11.289,17.4,19.8
42.606,42.451,11.343,11.289,11.6,18.4
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,11.6,18.4
42.606,42.451,11.343,11.289,11.6,18.4
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,9.1,21.7
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,11.6,18.4
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15,19
42.606,42.451,11.343,11.289,15.1,19.1
41.559,41.526,23.418,23.246,11.6,18.4
30.321,30.982,109.027,109.163,12.7,18.7
30.321,30.982,109.027,109.163,14.2,20.2
36.242,35.908,-74.774,-73.407,12.75,16.75
34.886,34.764,23.975,23.919,13.7,17.7
34.886,34.764,23.975,23.919,12.5,18.5
35.876,35.593,37.873,37.847,17,21
42.133,42.116,26.159,25.999,13.1,17.1
42.133,42.116,26.159,25.999,13.6,18.4
55.429,54.845,7.291,5.802,15.5,21.1
34.886,34.764,23.975,23.919,12.5,18.5
34.886,34.764,23.975,23.919,13.7,17.7
50.107,49.954,8.025,7.696,13.05,17.05
42.842,43.016,10.129,10.186,14.6,18.6
34.456,34.16,24.8,24.663,15,19
63.739,64.008,-141.922,-140.109,3,7
44.481,44.425,22.093,21.817,13.2,17.2
44.544,44.474,20.184,19.91,12.6,16.6
43.587,43.553,22.373,22.205,11.6,17.2
43.587,43.553,22.373,22.205,13.95,17.95
43.587,43.553,22.373,22.205,15.8,19.8
43.587,43.553,22.373,22.205,13.4,17.4
44.155,44.109,19.826,19.656,12.9,16.9
43.587,43.553,22.373,22.205,13.25,17.25
43.587,43.553,22.373,22.205,13.95,17.95
43.587,43.553,22.373,22.205,13.3,18.4
43.587,43.553,22.373,22.205,13.3,18.4
43.587,43.553,22.373,22.205,13.6,18.4
43.587,43.553,22.373,22.205,11.6,17.2
43.587,43.553,22.373,22.205,13.6,18.4
60.143,60.583,-149.489,-147.221,8.5,12.5
46.746,46.745,29.811,29.513,5.2,13.8
46.746,46.745,29.811,29.513,4.9,17.4
50.634,50.321,5.836,5.236,12.7,16.7
50.535,50.218,5.593,4.998,13.4,17.4
50.634,50.321,5.836,5.236,12.9,16.9
50.634,50.321,5.836,5.236,13.1,17.1
50.634,50.321,5.836,5.236,14,18
50.611,50.302,6.168,5.566,12.2,16.2
50.634,50.321,5.836,5.236,10.5,14.5
50.751,50.438,5.935,5.331,11.55,15.55
36.242,35.908,-74.774,-73.407,12.75,16.75
25.48,25.825,101.654,101.993,13.3,20.9
47.488,47.572,38.272,37.846,11.5,17
34.389,34.318,25.405,25.371,14.8,18.8
47.841,47.699,15.577,15.159,12.85,16.85
48.165,48.238,37.289,36.847,15.55,19.55
47.813,47.718,12.529,12.302,12.55,16.55
48.111,48.029,21.904,21.458,13.2,17.2
50.634,50.426,5.836,5.427,13.1,17.1
48.483,48.347,16.27,15.836,14.05,18.05
48.576,48.437,15.868,15.433,14.1,18.1
47.583,47.477,19.264,18.842,12.55,16.55
34.527,34.386,24.269,24.204,15,19
47.701,47.605,12.434,12.209,12.75,16.75
47.391,47.356,22.509,22.306,12.8,16.8
47.994,47.867,17.301,16.868,13.45,17.45
47.682,47.536,15.085,14.672,12.9,16.9
47.578,47.47,18.995,18.574,13.6,17.6
44.928,44.816,18.804,18.431,14,19
48.267,48.231,15.031,14.923,12.5,16.6
48.111,48.029,21.904,21.458,12.7,17.7
48.012,47.83,11.675,11.259,12.3,16.3
47.787,47.755,20.087,19.937,13.5,17.5
43.763,43.717,22.88,22.64,14.4,18.4
44.151,44.12,19.813,19.696,12.9,16.9
46.702,46.636,15.385,15.195,13.7,17.7
47.86,47.804,11.904,11.782,14,18
44.366,44.269,20.105,19.748,14.05,18.05
50.406,50.271,5.758,5.513,12.75,16.75
47.822,47.726,12.469,12.242,12.7,16.7
45.974,45.854,17.82,17.435,11.6,18.4
40.516,40.604,43.456,43.292,15,19
51.355,51.113,13.26,12.534,14,18
47.94,47.879,15.514,15.328,12.5,16.5
46.847,46.766,21.845,21.434,14.85,18.85
30.321,30.982,109.027,109.163,12.7,18.7
24.01,24.316,103.682,104.001,12.6,16.6
51.929,52.961,142.156,143.615,11.55,15.55
30.321,30.982,109.027,109.163,14.2,20.2
42.055,42.119,82.555,82.441,15.05,19.05