Site,Late Miocene SST,Late Miocene Uncertainty,Late Miocene Lat,Late Miocene Lon,Late Miocene Lon Adjusted
DSDP594,15.6,3.00,-47.78,179.26,179.26
608Uk37,25.2,3.00,41.89,-23.34,336.66
608Tex86S18,24.5,7.84,41.87,-23.35,336.65
608Tex86S20,23.4,6.39,42.09,-23.31,336.69
722Uk37,27.7,3.00,16.51,60.82,60.82
722Tex86,27.8,3.93,16.37,61.02,61.02
730,27.2,3.91,7.42,57.35,57.35
761,28.4,4.00,-22.08,113.22,113.22
769,29.7,5.00,8.66,121.00,121.00
806Tex86,29.9,5.00,-1.31,166.41,166.41
806MgCa,28.2,4.00,-1.20,165.98,165.98
846,28.1,3.00,-4.93,-83.71,276.30
850Tex86,26.9,5.00,-1.50,-103.89,256.11
850MgCa,27.8,3.00,-1.50,-103.89,256.11
883/884,10.2,3.00,49.46,173.16,173.16
887,8.4,3.00,51.81,-141.86,218.14
907,12.8,3.00,68.23,-14.73,345.27
925Uk37,27.8,3.00,3.31,-41.14,318.86
925Tex86,23.0,5.00,3.31,-41.14,318.86
926,26.0,4.00,2.16,-39.58,320.42
982Uk37L,23.6,3.00,57.15,-16.92,343.08
982Tex86,22.1,6.42,56.68,-16.74,343.26
982Uk37S,22.0,3.00,56.70,-16.72,343.28
1000,27.3,4.00,15.12,-79.52,280.48
1010,24.8,3.00,27.17,-110.95,249.05
1021,18.2,3.00,36.19,-121.09,238.91
1085,23.6,3.00,-30.77,14.21,14.21
1085,21.3,5.00,-30.77,14.21,14.21
1088,17.8,3.00,-41.61,14.26,14.26
1125,23.3,3.00,-44.20,-172.35,187.65
1143,30.4,5.00,10.06,114.34,114.34
1146MgCaS,25.3,3.00,20.22,116.86,116.86
1146MgCaH,26.1,4.00,20.02,116.72,116.72
1208,22.9,3.00,34.94,166.69,166.69
1241,27.9,3.00,6.00,-86.00,274.00
U1337,28.1,3.00,1.03,-116.36,243.64
U1338Uk37,27.7,3.00,-5.72,-110.57,249.43
U1338MgCa,27.8,4.00,0.45,-112.56,247.44
U1356Tex86,9.0,5.00,-61.84,133.96,133.96
AND2A,4.2,5.00,-77.26,158.59,158.59
Med,26.9,3.00,43.27,13.70,13.70