Name,R,G,B
 COSMOS Late Miocene 278ppm,0.1,0.3,0.1
 COSMOS Late Miocene 450ppm,0.1,0.3,0.1
 COSMOS Late Miocene ICEQ 278ppm,0.1,0.6,0.1
 COSMOS Late Miocene ICEQ 450ppm,0.1,0.6,0.1
 HadCM3L Late Miocene 280ppm,0,0.68,0.9
 HadCM3L Late Miocene 400ppm,0,0.68,0.9
 HadCM3L Tortonian 400ppm,0.6,0.2,0.9
 HadCM3L Messinian 400ppm,0.6,0.2,0.9
 NorESM-L 10Ma 350ppm,0.4,0.9,0.1
 NorESM-L 10Ma 560ppm,0.4,0.9,0.1
 CCSM-NH3 355ppm,1,0,0
 CCSM-NH3 560ppm,1,0,0
 CCSM3 T42 MMCO 400ppm,0.75,0,0
 CCSM3 T42 MMCO 200ppm,0.75,0,0
 CCSM3 T42 MMG 200ppm,0.5,0,0
 CCSM3 T42 MMG 400ppm,0.5,0,0
 CCSM4,0.94,0.5,0
 CESM1,1,0.8,0.1
 COSMOS Mid Miocene 278ppm,0.1,0.3,0.1
 COSMOS Mid Miocene 450ppm,0.1,0.3,0.1
 HadCM3L Mid Miocene 90SLE 280ppm,0,0.68,0.9
 HadCM3L Mid Miocene 90SLE 400ppm,0,0.68,0.9
 HadCM3L Mid Miocene 90SLE 560ppm,0,0.68,0.9
 HadCM3L Mid Miocene 90SLE 850ppm,0,0.68,0.9
 HadCM3L Mid Miocene 55SLE 280ppm,0,0.44,0.9
 HadCM3L Mid Miocene 55SLE 400ppm,0,0.44,0.9
 HadCM3L Mid Miocene 55SLE 560ppm,0,0.44,0.9
 HadCM3L Mid Miocene 55SLE 850ppm,0,0.44,0.9
 HadCM3L Mid Miocene NoICE 280ppm,0.1,0.1,0.9
 HadCM3L Mid Miocene NoICE 400ppm,0.1,0.1,0.9
 HadCM3L Mid Miocene NoICE 560ppm,0.1,0.1,0.9
 HadCM3L Mid Miocene NoICE 850ppm,0.1,0.1,0.9
 HadCM3L Langhian 280ppm,0.6,0.2,0.9
 HadCM3L Langhian 400ppm,0.6,0.2,0.9
 HadCM3L Langhian 560ppm,0.6,0.2,0.9
 IPSLCM 20Ma 420ppm,0.9,0.2,0.9
 IPSLCM 20Ma 560ppm,0.9,0.2,0.9
 IPSLCM 20Ma 840ppm,0.9,0.2,0.9
 IPSLCM 20Ma NoGIS 560ppm,0.9,0.2,0.9
 NorESM-L 20Ma 350ppm,0.4,0.9,0.1
 NorESM-L 20Ma 560ppm,0.4,0.9,0.1